card_id,customer_id,card_type,credit_limit,available_limit,issue_date,expiry_date
1,1,Classic,53278,34007,2021-11-17,2026-11-16
2,1,Classic,79256,32920,2024-12-04,2029-12-03
3,1,Classic,138696,138688,2024-02-22,2029-02-20
4,2,Classic,127397,93521,2026-02-28,2031-02-27
5,2,Classic,53905,22311,2025-12-11,2030-12-10
6,2,Classic,80495,57266,2025-10-29,2030-10-28
7,3,Classic,123563,63130,2025-04-14,2030-04-13
8,3,Classic,78893,53106,2022-09-03,2027-09-02
9,3,Classic,50851,25718,2021-09-09,2026-09-08
10,4,Gold,189194,129600,2025-03-04,2030-03-03
11,4,Classic,156443,147004,2024-02-20,2029-02-18
12,4,Gold,126793,50193,2025-06-17,2030-06-16
13,5,Classic,97052,74197,2026-05-06,2031-05-05
14,5,Classic,55695,46816,2025-03-13,2030-03-12
15,6,Classic,99615,40212,2024-01-01,2028-12-30
16,6,Classic,132397,120789,2025-02-26,2030-02-25
17,6,Classic,125674,62905,2023-06-11,2028-06-09
18,7,Classic,112012,63474,2025-12-30,2030-12-29
19,7,Gold,120916,66786,2021-02-02,2026-02-01
20,7,Classic,199647,132763,2021-11-20,2026-11-19
21,8,Platinum,385277,309664,2021-08-14,2026-08-13
22,8,Platinum,409842,262925,2020-12-21,2025-12-20
23,9,Classic,129840,122179,2025-02-09,2030-02-08
24,9,Classic,120010,68090,2023-08-15,2028-08-13
25,9,Classic,110589,82911,2025-11-30,2030-11-29
26,10,Gold,658935,367697,2020-06-23,2025-06-22
27,10,Gold,420087,142855,2024-01-08,2029-01-06
28,11,Classic,85093,29864,2026-01-05,2031-01-04
29,11,Classic,124341,78547,2024-12-08,2029-12-07
30,12,Platinum,507425,489266,2026-05-07,2031-05-06
31,13,Classic,169436,69131,2026-06-09,2031-06-08
32,13,Classic,295294,235747,2026-06-30,2031-06-29
33,14,Gold,295825,241992,2024-04-16,2029-04-15
34,14,Gold,252969,180590,2024-10-27,2029-10-26
35,14,Gold,157493,65378,2024-06-09,2029-06-08
36,15,Classic,61915,21661,2024-06-27,2029-06-26
37,15,Classic,70033,62129,2023-06-19,2028-06-17
38,15,Classic,139192,97090,2020-10-13,2025-10-12
39,16,Gold,501728,350596,2026-06-29,2031-06-28
40,16,Platinum,577408,305035,2026-06-08,2031-06-07
41,16,Gold,656664,574864,2026-06-14,2031-06-13
42,17,Platinum,702967,546938,2026-01-28,2031-01-27
43,18,Classic,176939,110066,2026-04-01,2031-03-31
44,18,Classic,218940,66532,2026-07-03,2031-07-02
45,19,Classic,115612,58099,2021-01-17,2026-01-16
46,19,Classic,131959,78704,2021-07-03,2026-07-02
47,19,Classic,70032,45513,2022-07-22,2027-07-21
48,20,Classic,257009,162077,2025-06-05,2030-06-04
49,21,Classic,64662,43186,2025-08-10,2030-08-09
50,21,Classic,81385,28211,2026-05-30,2031-05-29
51,22,Classic,61226,50216,2024-10-02,2029-10-01
52,23,Classic,133657,126571,2021-12-08,2026-12-07
53,24,Classic,84741,60003,2021-01-04,2026-01-03
54,24,Classic,77760,58671,2022-04-16,2027-04-15
55,25,Gold,673790,365566,2025-11-05,2030-11-04
56,25,Platinum,652157,536370,2025-08-31,2030-08-30
57,25,Platinum,529690,430265,2024-12-27,2029-12-26
58,26,Classic,164986,78946,2021-02-01,2026-01-31
59,26,Classic,188627,62102,2025-05-29,2030-05-28
60,27,Classic,127128,67002,2026-06-03,2031-06-02
61,27,Classic,59305,59150,2023-12-25,2028-12-23
62,27,Classic,80007,28419,2025-02-02,2030-02-01
63,28,Platinum,337149,235926,2025-04-17,2030-04-16
64,29,Classic,137684,104929,2024-01-23,2029-01-21
65,30,Classic,144811,118290,2025-11-12,2030-11-11
66,31,Gold,163700,151951,2025-11-28,2030-11-27
67,31,Gold,206708,111926,2026-03-16,2031-03-15
68,31,Classic,125409,123996,2025-09-10,2030-09-09
69,32,Classic,105519,85538,2025-12-23,2030-12-22
70,32,Classic,145561,50768,2026-07-10,2031-07-09
71,33,Classic,115889,87538,2024-01-01,2028-12-30
72,33,Gold,128644,71184,2021-11-28,2026-11-27
73,33,Classic,149862,115250,2022-04-07,2027-04-06
74,34,Classic,210593,111277,2024-04-20,2029-04-19
75,34,Gold,221275,131867,2022-10-08,2027-10-07
76,35,Platinum,723636,668684,2025-08-01,2030-07-31
77,36,Classic,56630,52416,2023-09-02,2028-08-31
78,36,Classic,62224,34158,2025-01-22,2030-01-21
79,36,Classic,103269,94633,2024-05-10,2029-05-09
80,37,Classic,205130,76909,2022-03-25,2027-03-24
81,37,Classic,199345,60368,2023-07-25,2028-07-23
82,38,Classic,109638,70279,2019-07-03,2024-07-01
83,38,Classic,141303,138138,2024-08-22,2029-08-21
84,39,Classic,70289,33531,2025-05-03,2030-05-02
85,39,Classic,78534,27392,2024-10-16,2029-10-15
86,39,Classic,148038,85515,2026-01-03,2031-01-02
87,40,Gold,606277,431857,2023-08-18,2028-08-16
88,41,Classic,57455,50517,2025-10-15,2030-10-14
89,41,Classic,74356,26796,2024-12-14,2029-12-13
90,41,Classic,138501,72378,2024-12-10,2029-12-09
91,42,Gold,793667,496275,2025-04-14,2030-04-13
92,42,Gold,624734,230402,2024-09-12,2029-09-11
93,43,Classic,84179,38639,2023-11-01,2028-10-30
94,43,Classic,81285,41792,2024-03-05,2029-03-04
95,44,Classic,138039,126018,2024-09-13,2029-09-12
96,44,Classic,109929,74419,2025-09-01,2030-08-31
97,45,Gold,540273,487747,2024-12-11,2029-12-10
98,46,Gold,338409,242459,2022-02-14,2027-02-13
99,46,Gold,565229,308609,2026-02-02,2031-02-01
100,46,Gold,789296,602750,2024-10-18,2029-10-17
101,47,Platinum,1574954,1070147,2024-09-17,2029-09-16
102,48,Business,1939210,1216187,2024-09-11,2029-09-10
103,49,Classic,137538,113953,2021-04-01,2026-03-31
104,49,Classic,136951,54662,2020-04-11,2025-04-10
105,49,Classic,84664,32963,2023-12-31,2028-12-29
106,50,Classic,85697,44174,2025-02-16,2030-02-15
107,51,Classic,144058,88159,2025-12-31,2030-12-30
108,51,Classic,140111,125163,2025-10-23,2030-10-22
109,51,Classic,116244,98905,2026-02-03,2031-02-02
110,52,Classic,124195,120394,2026-01-14,2031-01-13
111,52,Gold,172530,57537,2025-07-23,2030-07-22
112,53,Classic,67146,61896,2026-04-13,2031-04-12
113,54,Classic,147154,102058,2026-03-17,2031-03-16
114,54,Classic,123519,38322,2026-02-05,2031-02-04
115,55,Platinum,1112589,905868,2026-05-17,2031-05-16
116,56,Classic,126350,110325,2024-01-02,2028-12-31
117,57,Classic,66704,22752,2024-01-12,2029-01-10
118,58,Gold,110458,80035,2026-04-17,2031-04-16
119,58,Classic,278799,149051,2024-05-16,2029-05-15
120,59,Classic,96357,82171,2019-11-11,2024-11-09
121,59,Classic,81029,80970,2023-06-24,2028-06-22
122,59,Classic,73206,48981,2021-12-27,2026-12-26
123,60,Classic,293085,175005,2025-08-25,2030-08-24
124,61,Classic,169941,71848,2023-07-01,2028-06-29
125,61,Classic,200281,70235,2026-01-11,2031-01-10
126,62,Gold,404633,362720,2026-06-22,2031-06-21
127,62,Platinum,460007,257327,2022-04-06,2027-04-05
128,63,Classic,136511,66266,2025-05-27,2030-05-26
129,64,Classic,86517,82601,2026-05-08,2031-05-07
130,64,Classic,86585,48987,2026-03-06,2031-03-05
